ACCOUNTTYPE,WEBSITE_LINK,team_id
Facebook,https://www.facebook.com/hawks,1610612737
Instagram,https://instagram.com/atlhawks,1610612737
Twitter,https://twitter.com/ATLHawks,1610612737
Facebook,https://www.facebook.com/bostonceltics,1610612738
Instagram,https://instagram.com/celtics,1610612738
Twitter,https://twitter.com/celtics,1610612738
Facebook,https://www.facebook.com/BrooklynNets,1610612751
Instagram,https://instagram.com/brooklynnets,1610612751
Twitter,https://twitter.com/BrooklynNets,1610612751
Facebook,https://www.facebook.com/hornets,1610612766
Instagram,https://instagram.com/hornets,1610612766
Twitter,https://twitter.com/hornets,1610612766
Facebook,https://www.facebook.com/chicagobulls,1610612741
Instagram,https://instagram.com/chicagobulls,1610612741
Twitter,https://twitter.com/chicagobulls,1610612741
Facebook,https://www.facebook.com/Cavs,1610612739
Instagram,https://instagram.com/cavs,1610612739
Twitter,https://twitter.com/cavs,1610612739
Facebook,https://www.facebook.com/dallasmavs,1610612742
Instagram,https://instagram.com/dallasmavs,1610612742
Twitter,https://twitter.com/dallasmavs,1610612742
Facebook,https://www.facebook.com/DenverNuggets,1610612743
Instagram,https://instagram.com/nuggets,1610612743
Twitter,https://twitter.com/nuggets,1610612743
Facebook,https://www.facebook.com/detroitpistons,1610612765
Instagram,https://instagram.com/detroitpistons,1610612765
Twitter,https://twitter.com/DetroitPistons,1610612765
Facebook,https://www.facebook.com/warriors,1610612744
Instagram,https://instagram.com/warriors,1610612744
Twitter,https://twitter.com/warriors,1610612744
Facebook,https://www.facebook.com/houstonrockets,1610612745
Instagram,https://instagram.com/houstonrockets,1610612745
Twitter,https://twitter.com/HoustonRockets,1610612745
Facebook,https://www.facebook.com/pacers,1610612754
Instagram,https://instagram.com/pacers,1610612754
Twitter,https://twitter.com/Pacers,1610612754
Facebook,https://www.facebook.com/LAClippers,1610612746
Instagram,https://instagram.com/laclippers,1610612746
Twitter,https://twitter.com/LAClippers,1610612746
Facebook,https://www.facebook.com/losangeleslakers,1610612747
Instagram,https://instagram.com/lakers,1610612747
Twitter,https://twitter.com/Lakers,1610612747
Facebook,https://www.facebook.com/MemphisGrizzlies,1610612763
Instagram,https://instagram.com/memgrizz,1610612763
Twitter,https://twitter.com/memgrizz,1610612763
Facebook,https://www.facebook.com/MiamiHeat,1610612748
Instagram,https://instagram.com/miamiheat,1610612748
Twitter,https://twitter.com/MiamiHEAT,1610612748
Facebook,https://www.facebook.com/milwaukeebucks,1610612749
Instagram,https://instagram.com/bucks,1610612749
Twitter,https://twitter.com/Bucks,1610612749
Facebook,https://www.facebook.com/MNTimberwolves,1610612750
Instagram,https://instagram.com/timberwolves,1610612750
Twitter,https://twitter.com/Timberwolves,1610612750
Facebook,https://www.facebook.com/PelicansNBA,1610612740
Instagram,https://instagram.com/pelicansnba,1610612740
Twitter,https://twitter.com/PelicansNBA,1610612740
Facebook,https://www.facebook.com/NYKnicks,1610612752
Instagram,https://instagram.com/nyknicks,1610612752
Twitter,https://twitter.com/nyknicks,1610612752
Facebook,https://www.facebook.com/OKCThunder,1610612760
Instagram,https://instagram.com/okcthunder,1610612760
Twitter,https://twitter.com/okcthunder,1610612760
Facebook,https://www.facebook.com/OrlandoMagic,1610612753
Instagram,https://instagram.com/orlandomagic,1610612753
Twitter,https://twitter.com/OrlandoMagic,1610612753
Facebook,https://www.facebook.com/Sixers,1610612755
Instagram,https://instagram.com/sixers,1610612755
Twitter,https://twitter.com/Sixers,1610612755
Facebook,https://www.facebook.com/suns,1610612756
Instagram,https://instagram.com/suns,1610612756
Twitter,https://twitter.com/Suns,1610612756
Facebook,https://www.facebook.com/trailblazers,1610612757
Instagram,https://instagram.com/trailblazers,1610612757
Twitter,https://twitter.com/trailblazers,1610612757
Facebook,https://www.facebook.com/sacramentokings,1610612758
Instagram,https://instagram.com/sacramentokings,1610612758
Twitter,https://twitter.com/SacramentoKings,1610612758
Facebook,https://www.facebook.com/Spurs,1610612759
Instagram,https://instagram.com/spurs,1610612759
Twitter,https://twitter.com/spurs,1610612759
Facebook,https://www.facebook.com/TorontoRaptors,1610612761
Instagram,https://instagram.com/raptors,1610612761
Twitter,https://twitter.com/Raptors,1610612761
Facebook,https://www.facebook.com/utahjazz,1610612762
Instagram,https://instagram.com/utahjazz,1610612762
Twitter,https://twitter.com/utahjazz,1610612762
Facebook,https://www.facebook.com/Wizards,1610612764
Instagram,https://instagram.com/washwizards,1610612764
Twitter,https://twitter.com/WashWizards,1610612764
